Armour,Defense,Soak,Price,Encumbrance,Hard Points,Rare,Restricted,Description
Diplomat's Robes,0,0,400,2,0,6,No,"Robes of this type are worn by ambassadors, senators and other officials engaging in important negotiations. They are generally immediately recognizable, providing their wearers the status they deserve.  Add 1 boost die to social checks related to diplomatic authority and when attempting to bypass procedure due to status"
Riding Tack (for animals),0,0,250,2,0,4,No,"This a fully equipped riding tack, designed for quality and reliability. Can only be equipped to beasts. Allows riding of the beast without suffering the bareback penalties."
Cargo Clothing,0,0,30,1,0,0,No,Cargo clothes are found worn by engineers and others in every spaceport of the galaxy. They are useful for carrying the right tools for the job. Carry up to 3 items of encumbrance 1 or lower without them counting towards the encumbrance threshold.
Banal Apparel,0,0,25,0,0,0,No,Sometimes a simple set of commoner's clothes is enough stealth apparel for most situations. Upgrade the difficulty of checks to identify wearer once
Performer's Attire,0,0,50,0,0,4,No,"Diplomats perform on the political stage, but some may dabble in artistic performance. These clothes facilitate a performance, often being flashy but with freedom of movement. Add 1 boost die to checks for attracting attention or performing"
Tracker Utility Vest,0,0,100,-,1,2,No,"This gear has a set of load-bearing straps and pockets, a suit favoured by explorers all over the galaxy. It allows for equipment to be easily carried and accessible. Increase encumbrance threshold by 2"
Noble Regalia,0,0,750,1,3,7,No,"This set of clothes is generally of inconvenient couture, prioritizing appearance over all else. Yet in the right cultures, confers upon the wearer their due status. Downgrade the difficulty of social checks to interact with other nobility and subordinates twice."
Flare Jacket,0,1,1500,3,0,8,No,"The flare jacket contains a set of charges that release a blinding light upon release, produced experimentally by both military and high end clothing companies. Once per encounter, a character wearing the jacket can trigger the charges as a maneuver. Everyone in short range (except the wearer) must make a Hard (3 difficulty) Vigilance check. Failure leads to being staggered for 1 round, plus 1 per 3 disadvantages"
Beast-Hide Armour,0,1,300,3,0,2,No,"This set of clothing is built from the hides of animals, worn by survivalists and fringers.  Add an advantage result to Coercion checks and a threat result to Charm checks."
Resplendent Robes,0,1,500,2,0,5,No,"Some members of the galaxy enjoy being the centre of attention. These robes are designed to draw attention, allowing others to go about their business without being noticed. When purposely drawing attention to self, allies in medium range gain 1 boost die to Perception, Skulduggery and Stealth checks"
Protective Gear,0,1,450,1,0,1,No,"This outfit is seen all around the galaxy, used by engineers in vehicle pools, hangars and most small industrial operations. It comes with dark-tinted goggles and face-mask, as well as thick gloves and a reinforced apron. Wearer ignores the effects of fires or acids of rating 1 or 2. Counts as soak +2 against damage from weapons with the Blast quality (but only when that quality is being used to inflict damage."
Concealing Robes,0,1,150,1,0,2,No,"Once used by most Jedi Knights, this heavy set of cloth robes is useful to avoid identification by others. Add 1 setback die to an opponent attempting to identify the wearer."
Nomad Greatcoat,0,1,100,1,0,4,No,"This outfit has become popular since the Corellian military adopted it from the inhabitants of the Nomad Mountains. It is efficient at protecting from the cold, and quite comfortable.  Reduce difficulty of checks to resist cold &amp; extreme environments by 1. Remove 1 setback dice imposed due to extreme cold from checks"
Alliance Engineer's Helmet & Vest,0,1,75,1,0,1,No,"Engineers, civilian or military, need appropriate protective equipment during construction efforts. This is the standard distribution of that equipment by the Alliance. Wearer has an innate rank of the Durable talent."
Heavy Clothing,0,1,50,1,0,0,No,"A good leather jacket, technician's jumpsuit, or a thick woolen cloak won't stop much damage, but it's certainly better than nothing. Most characters living on the edge of the Empire favor heavy clothing for everyday wear."
