Talent,Base,t1.1,t1.2,t1.3,t1.4,t2.1,t2.2,t2.3,t2.4,t3.1,t3.2,t3.3,t3.4,t4.1,t4.2,t4.3,t4.4,t1.1-desc,t1.2-desc,t1.3-desc,t1.4-desc,t2.1-desc,t2.2-desc,t2.3-desc,t2.4-desc,t3.1-desc,t3.2-desc,t3.3-desc,t3.4-desc,t4.1-desc,t4.2-desc,t4.3-desc,t4.4-desc,link,imp
Alter,A force user may use this power to alter their environment to their advantage or the disadvantage of their opponents.,Control,Range,Control,,Control,Control,Duration,Strength,Range,Control,Strength,Control,Control,Mastery,Strength,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Alter,FALSE
Battle Meditation,This force power allows one to unite their allies around them with the force in order to perform better as a group.,Magnitude,Range,Control,,Magnitude,Range,Strength,,Magnitude,Range,Duration,,Magnitude,Control,Mastery,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Battle_Meditation,FALSE
Bind,This force power allows an attuned individual to capture a person with the power of the force... and even then crush them.,Range,Magnitude,Strength,Control,Range,Magnitude,Strength,Duration,Control,Magnitude,Strength,Range,Mastery,,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Bind,FALSE
Conjure,This force power allows one with the force to materialize weapons or items with pure willpower for a short period of time.,Duration,Number,Magnitude,,Magnitude,Control,Duration,,Number,Control,Range,Duration,Mastery,,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Conjure,FALSE
Ebb/Flow,"This force power allows one to either sap the stamina from their opponents, or empower themselves.",Magnitude,Range,Strength,,Control,Control,Strength,,Magnitude,Control,Strength,,Control,Control,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Ebb/Flow,FALSE
Endure,This force power allows one attuned with the force to feed off that power and temporarily ignore the effects of otherwise critical injuries - even completely avoid an injury.,Strength,Control,Duration,,Control,Strength,Magnitude,,Strength,Control,Strength,Range,Mastery,,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Endure,FALSE
Enhance,This force power allows the user to fill their body with the power of the living force in order to make super-natural leaps and movements.,Control,Control,Control,,Control,Control,Control,,Control,Control,Range,,Control,Control,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Enhance,FALSE
Farsight,"This force power allows a blinded character to see as if they were not blind. By communing with the force, one may feel the presence of others and see more than the eyes could allow.",Control,Control,Control,Duration,Range,Duration,Control,Range,Control,Control,Mastery,,,,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Farsight,FALSE
Focus/Rage,"The Force user embraces peace or passion, controlling their emotions to improve their prowess",Control,Strength,Duration,,Magnitude,Strength,Strength,Duration,Magnitude,Range,Strength,,Magnitude,Range,Mastery,,,,,,,,,,,,,,,,,,https://cdn.discordapp.com/attachments/801970982663225414/1018643875692302346/Rage_Tree.png,FALSE
Foresee,"Force users often have precognitive flashes, experiencing waking dreams or visions about people and situations through their abilities. These powers are rarely so clear and obvious as to provide unequivocal visions of the future, but they are certainly enough to give Force users pause for thought when they have a ""bad feeling about something"". The power of foresight has been used in countless different ways by countless different Force users throughout history. Some use it to gain vague images far into the future, while others use it to predict the movements of their foes or see an unexpected event soon to happen.",Control,Strength,,,Magnitude,Range,Control,Duration,Magnitude,Range,Range,Strength,Control,Duration,,,,,,,,,,,,,,,,,,,https://star-wars-rpg-ffg.fandom.com/wiki/Foresee,FALSE
