,Equipment,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description,Type,Defense,Soak
0,SSB-1 Static Pistol,Ranged (Light),2,4,Short,2,1,850,7,No,"Disorient 1, Stun 8","Based of a millennia old design, this pistol fires a powerful bolt of electricity which is quite effective in close quarters - capable of bringing down a Wookiee in a couple shots.",weapon,,
1,Energy Slingshot,Ranged (Light),3,None,Short,1,0,40,4,No,"Disorient 2, Stun Damage","This wrist-mounted device is able to fire small bolts of stunning energy, mostly used by mischievous pranksters. Triggering disorient may be done with 1 advantage result rather than 2.",weapon,,
2,411 Holdout,Ranged (Light),4,4,Medium,1,1,350,5,Yes,Stun Setting,"These blasters were produced for Imperial agents, having an increased range over other holdouts although with reduced damage. The specifications were stolen and the black market was flooded with the weapon.",weapon,,
3,DH-17c Short Carbine,Ranged (Heavy),4,3,Medium,3,2,950,6,No,"Auto-fire, Stun Setting","Somewhere between a blaster pistol and carbine, this small blaster weapon allows an engineer to quickly switch between a weapon and building fortifications.",weapon,,
4,12 Defender,Ranged (Light),5,5,Short,1,0,25,4,No,"Inferior, Limited Ammo 2","This holdout blaster is described as a ""micro blaster"", one of the smallest blasters in the galaxy. It is designed for self-defense and concealment. They also typically lack distinguishing markings, making them hard to track. Add 2 setback dice to Computers and Perception checks to find the concealed weapon.",weapon,,
5,CDEF Pistol,Ranged (Light),5,4,Medium,1,1,150,4,No,"Inferior, Stun Setting",These pistols are a standard issue to CorSec officers by the CEC. They are relatively cheap and a basic design.,weapon,,
6,Holdout Blaster,Ranged (Light),5,4,Short,1,1,200,4,No,Stun Setting,"These blasters are exceptionally small pistols which are easily portable and hidden away. For this reason they have a decreased range. When an individual is attempting to find the concealed weapon, add one setback die to the roll.",weapon,,
7,SE-14C Pistol,Ranged (Light),5,4,Short,1,2,650,6,No,"Auto-fire, Stun Setting",This blaster pistol has the ability to unleash a torrent of bolts at the enemy similarly to repeater rifles - yet with a diminished power. It is typically used by the Empire as a side-arm.,weapon,,
8,Mon Calamari Battle Baton,Ranged (Light),5,4,Medium,1,1,250,6,No,Stun Setting,"This is a simple blaster, in the shape of a small scepter. It is distributed to Mon Cal officers, showing the wielder's rank.",weapon,,
9,Light Blaster Pistol,Ranged (Light),5,4,Medium,1,2,300,4,No,Stun Setting,"These are the lightest of blaster pistols, commonly found all over the galaxy as they are not highly regulated as larger and more powerful weapons.",weapon,,
10,Lucky Blaster,Ranged (Light),5,4,Medium,1,2,400,10,No,Stun Setting,"Lucky Blasters are not a weapon of a particular manufacturer, they are more an anomaly among blasters that one may become attuned to. Many gunslingers tend to believe in lucky blasters, but mystics are capable of sensing a blaster imbued with the anomalous force powers. When a character uses a single maneuver with a lucky blaster to aim, they gain 2 boost dice on their next combat check, they may not use their second maneuver to aim again.",weapon,,
11,DL-19C Pistol,Ranged (Light),5,4,Medium,1,4,450,4,No,Stun Setting,"Based partly on the common DL-18, this blaster pistol is marketed towards weapon hobbyists and enthusiasts, allowing a user greater adjustment of the weapon both in attachments and small changes. When Jury Rigged talent is used on this weapon, select an additional (different) option from that talent's list and apply it to the weapon.",weapon,,
12,X-30 Lancer Precision Pistol,Ranged (Light),5,4,Long,1,3,1000,5,No,"Accurate 1, Pierce 2","This is a light weight and popular sporting blaster, favoured by many beyond the hunting scene as a self-defense weapon. They are also found in a variety of escape pod and speeder bike emergency kits!",weapon,,
13,A95 Stingbeam,Ranged (Light),5,3,Engaged,1,0,400,5,No,"Stun Setting, Vicious 1","This holdout pistol fits in the palm of one's hand, firing a beam of energized particles rather than a blaster bolt. However, the drawback to this small technology is the limited range. Add 2 setback dice to Perception checks to find the concealed weapon.",weapon,,
14,Spukami Pocket Pistol,Ranged (Light),5,3,Short,1,1,200,2,No,Stun Setting,"This pistol was designed for close quarters combat only, despite having a longer range. It hits hard for a holdout blaster, but becomes ineffective at range. At short range, gain the Inaccurate 1 quality. Add 1 setback dice to Perception checks to find the weapon when concealed.",weapon,,
15,Model Q4 Quickfire Holdout Pistol,Ranged (Light),5,3,Short,1,0,250,4,No,Stun Setting,"This unique holdout blaster uses a specialised power-pack that allows for a greater output than other houldouts. However, the pack cannot be replaced and must be recharged from a power-source.",weapon,,
16,"CS14 ""Ghost"" Light Pistol",Ranged (Light),5,3,Short,1,0,550,6,Yes,Stun Setting,This small and lightweight blaster is easily concealed and built from sensor-proof alloys. This makes the weapon virtually impossible to detect and a perfect choice for spies. Finding a CS14 on an individual requires a Daunting (4 Purple) Perception Check. A character must make a Daunting (4 Purple) Computers Check to find the CS14 with a weapon scanner.,weapon,,
17,ATA Pulse-Wave Pistol,Ranged (Light),5,3,Short,2,2,750,6,Yes,Vicious 3,"Once state-of-the-art, this pistol is now considered an archaic weapon, incapable of much range or damage. However, the effect of an impact from this weapon is similar to a disruptor weapon.",weapon,,
18,Defender Pistol,Ranged (Light),5,3,Medium,1,1,650,6,No,"Stun Setting, Accurate 1","This pistol is commonly used by the Corporate Sector Authority, but is popular enough that it is often seen among the nobility and aristocracy. ",weapon,,
19,HL-27 Light Pistol,Ranged (Light),5,3,Medium,1,2,450,4,No,"Accurate 1, Stun Setting","This is an example of the superior craftsmanship of Coronet Arms, balancing discretion and firepower in a tight package.",weapon,,
20,"IR-5 ""Intimidator"" Pistol",Ranged (Light),5,3,Medium,2,2,750,6,Yes,"Auto-fire, Inaccurate 1","This pistol provides plenty of firepower in a small package, illegal due to its fire rate comparable to a repeating blaster.",weapon,,
21,"XL-2 ""Flashfire"" Light Pistol",Ranged (Light),5,3,Medium,1,3,450,5,No,"Disorient 1, Stun Setting",This is a plasma-based blaster which is designed to disperse the bright beam slightly upon firing - capable of momentarily blinding an opponent being shot at.,weapon,,
22,Heartwood Blaster,Ranged (Heavy),6,5,Medium,3,1,1000,6,No,"Cumbersome 2, Stun 3","This blaster was developed by the Tholothian Defense Force, using wood from the native heartwood of their world Toloth. When using the heartwood blaster, a character may suffer strain up to their force rating to add an equal number of automatic advantages to the next combat check they make that turn.",weapon,,
23,ELG-3A Pistol,Ranged (Light),6,4,Short,1,0,400,5,No,Stun Setting,"The ""Diplomat's Blaster"" is elegantly designed, used by the iconic Naboo Royal Guard. It is easy to hide well. Add 2 setback dice to perception checks to find this weapon on a person's body.",weapon,,
24,Wrist Blaster,Ranged (Light),6,3,Engaged,1,0,1200,6,Yes,"Limited Ammo 1, Pierce 4","Typically built into a wrist accessory such as a bracelet or chrono, this small weapon is capable of producing a single powerful blast that may incapacitate an opponent. However, they are illegal on most worlds. Noticing the weapon requires a Daunting (4 difficulty) Perception check. Getting 3 disadvantages on a weapon check may cause it to burn the user for 3 wounds.
",weapon,,
25,Military Holdout Blaster,Ranged (Light),6,3,Short,1,0,500,5,No,Stun Setting,"This small personal blaster is designed to be easily drawn, but also to blend in with one's clothing. Favoured among diplomats that may come across aggressive agents. Add 1 setback die to Perception checks to find the blaster. The weapon may run out of ammunition upon 3 Threat results.",weapon,,
26,Boonta Blaster,Ranged (Light),6,3,Short,1,1,1000,8,No,Stun Setting,"This weapon is named after Boonta the Hutt, a legend who carried as similar weapon. These blasters are typically ornate holdout blasters, with little more to them. Add 1 setback die to Perception checks to find the blaster. The weapon may run out of ammunition upon 3 Threat results.",weapon,,
27,Site-145 Replica Pistol,Ranged (Light),6,3,Medium,1,0,1750,8,Yes,Stun Setting,This is a replica of an ancient weapon used by force-sensitives before the use of lightsabers. Comes automatically with the 'Force-attuned resonator' attachment.,weapon,,
28,Liquidsilver L7 Light Pistol,Ranged (Light),6,3,Medium,1,1,425,4,No,Stun Setting,"This inexpensive blaster pistol has gained a good reputation among smugglers for having aboard starships, as its compact frame and metallic styling make it inconspicuous on a vessel. Add 2 setback dice to Perception checks to notice the pistol stashed aboard a starship.",weapon,,
