Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
A Step Ahead,Active (Incidental),No,"Once per session, the character may suffer two strain in order to count their Cunning as one higher than normal for the remainder of the encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/A_Step_Ahead_talent,True,False,A Step Ahead-A,False,False
Acklay's Scything Strike,Passive,No,"Force talent. The character's Brawl attacks gain the Pierce quality with a rating equal to their Force rating, or increase their existing Pierce quality by that amount.",https://star-wars-rpg-ffg.fandom.com/wiki/Acklay%27s_Scything_Strike_talent,True,True,Acklay's Scything Strike-A,False,False
Adaptable,Active (Incidental),No,"Force talent. When resolving a check that uses a skill in which they have no ranks, the character may spend one Destiny Point to remove a despair from the check or to remove threats equal to their ranks in Cool from the check.",https://star-wars-rpg-ffg.fandom.com/wiki/Adaptable_talent,True,True,Adaptable-A,False,False
Adversary,Passive,Yes,Upgrade the difficulty of any combat check targeting this character once per rank of Adversary.,https://star-wars-rpg-ffg.fandom.com/wiki/Adversary_talent,True,False,Adversary-A,True,False
Against All Odds,Active (Action),No,"Force talent. Once per session, if the character is incapacitated due to exceeding their wound threshold, they may perform the Against All Odds action (this action may be performed even though characters are normally barred from performing actions when incapacitated). The character makes a Hard Resilience check, rolling a number of Force dice equal to their Force rating as part of the check. If successful, the character heals wounds equal to success results. The character may spend Force points to add success results to the result.",https://star-wars-rpg-ffg.fandom.com/wiki/Against_All_Odds_talent,True,True,Against All Odds-A,False,False
Aggressive Negotiations,Active (Action),No,"Force talent. Once per session, the character may perform the Aggressive Negotiations action; making a Hard Lightsaber check. If the character succeeds, the character decreases the difficulty of all Negotiation checks they make for the remainder of the encounter by two to a minimum of 0.",https://star-wars-rpg-ffg.fandom.com/wiki/Aggressive_Negotiations_talent,True,True,Aggressive Negotiations-A,False,False
Alchemical Arts,Active (Incidental),Yes,"Force talent. After making a crafting check to create a potion or talisman, the character may choose to suffer strain no greater than twice their ranks in Alchemical Arts. For every two strain, they may add a light or dark Force point to the results. If they choose to add a dark Force point, they also suffer 1 Conflict per dark Force point.",https://star-wars-rpg-ffg.fandom.com/wiki/Alchemical_Arts_talent,True,True,Alchemical Arts-A,True,False
All-Terrain Driver,Passive,No,"When piloting a vehicle using the Piloting (Planetary) skill, the character does not suffer the penalties for driving through difficult terrain.",https://star-wars-rpg-ffg.fandom.com/wiki/All-Terrain_Driver_talent,True,False,All-Terrain Driver-A,False,False
Alter,Force Ability,Force Ability,A force user may use this power to alter their environment to their advantage or the disadvantage of their opponents.,https://star-wars-rpg-ffg.fandom.com/wiki/Alter,True,True,Alter-A,False,True
Altered Deal,Active (Action),No,"Once per session the character may take the Altered Deal action and make Hard Coercion check to radically change a previously agreed upon deal or bargain to a version much more advantageous to the character. The player must narratively explain what happened, including the details of how the character arranged for the deal to be changed as well as the specifics of the new deal.",https://star-wars-rpg-ffg.fandom.com/wiki/Altered_Deal_talent,True,False,Altered Deal-A,False,False
Always Get My Mark,Signature Ability,Signature Ability,A Bounty Hunter's signature ability is that they always manage to find their target - no matter how well they hide.,https://star-wars-rpg-ffg.fandom.com/wiki/Always_Get_My_Mark,True,False,Always Get My Mark-A,False,True
Ambush,Active (Maneuver),No,"Once per round while benefiting from cover, the character may perform the Ambush manever. The character may add additional damage equal to their ranks in the Stealth skill to one hit of the next successful combat check with a non-starship/vehicle weapon they make against a target within short range before the end of their turn.",https://star-wars-rpg-ffg.fandom.com/wiki/Ambush_talent,True,False,Ambush-A,False,False
Analyze Data,Active (Action),No,"Once per session, after capturing or stealing data about an opponent, the character may perform the Analyze Data action to make an Average Knowledge (Warfare) check to determine its value. If successful, once before the end of the session the character may add automatic success results equal to their ranks in Knowledge Warfare to one check related to that captured data. The GM has the final say on what checks are related to the data.",https://star-wars-rpg-ffg.fandom.com/wiki/Analyze_Data_talent,True,False,Analyze Data-A,False,False
Anatomy Lessons,Active (Incidental),No,"After a successful attack with a personal (non-starship/vehicle) weapon, the character may spend one Destiny Point to add damage equal to their Intellect to one hit of the attack.",https://star-wars-rpg-ffg.fandom.com/wiki/Anatomy_Lessons_talent,True,False,Anatomy Lessons-A,False,False
Animal Bond,Passive,No,"Force talent. Through the Force, the character creates a bond with a single animal with which they are currently interacting. This cannot be done during structured encounters. This animal must have a silhouette equal to or smaller than half the character's Force rating when the bond is created, rounded down (this means a character with Force rating 1 could only bond with a silhouette 0 animal). The bond persists as long as the character chooses it to, although at the GM's discretion, the bond may also be broken due to abusive treatment or other extenuating circumstances. As long as the bond persists, the animal remains near the character, and the controlling player dictates the animal's overall behavior (although, since the animal is only bonded with the character, not dominated, it may still perform certain inconvenient actions such as scratching furniture, consuming rations, and marking territory). Once per round in structure encounters, the character may spend one maneuver to direct their animal in perfoming one action and one maneuver. The animal must be within hearing and visual range of the character (generally medium range) to do this. Otherwise, the animal does not contribute to the encounter. The specifics of its behavior are up to the player and GM.",https://star-wars-rpg-ffg.fandom.com/wiki/Animal_Bond_talent,True,True,Animal Bond-A,False,False
