Talent,Kavin,Virai,Khaylia,Culkoo,Okchota,BD,Doc
Adversary,0,0,0,0,0,0,0
Alchemical Arts,0,0,0,0,0,0,0
Bacta Specialist,0,0,0,0,0,0,0
Bad Cop,0,0,0,0,0,0,0
Barrage,0,2,0,0,0,0,0
Beast Wrangler,0,0,0,0,0,0,0
Black Market Contacts,0,0,0,0,0,0,0
Blooded,0,1,0,1,0,0,0
Body Guard,0,2,0,0,0,0,0
Bolstered Armor,0,0,0,0,0,0,0
Brace,1,2,0,1,0,0,0
Burly,0,3,0,0,0,0,0
By The Book,0,0,0,0,0,0,0
Bypass Security,1,0,0,0,0,0,0
Center Of Being,1,0,0,0,0,0,0
Channel Agony,0,0,0,0,0,0,0
Clanker Killer,0,0,0,0,0,0,0
Codebreaker,1,0,0,0,0,2,0
Combat Veteran,0,0,0,0,0,0,0
Command,0,0,0,0,0,0,0
Commanding Presence,0,0,0,0,0,0,0
Conditioned,1,2,2,0,1,0,0
Confidence,0,0,0,0,0,0,0
Congenial,0,0,0,0,0,0,0
Construction Specialist,0,0,0,0,0,0,0
Convincing Demeanor,0,0,0,0,0,0,0
Coordinated Assault,0,0,0,0,0,0,0
Creative Design,0,0,0,0,0,0,0
Crucial Point,0,0,0,0,0,0,0
Customized Cooling Unit,0,0,0,0,0,0,0
Cyberneticist,0,0,0,0,0,0,0
Deadly Accuracy,0,0,0,1,0,0,0
Death From Above,0,0,0,0,0,0,0
Dedication,0,1,0,4,0,0,0
Defensive Driving,0,0,0,0,0,0,0
Defensive Slicing,1,0,0,0,0,0,0
Defensive Stance,1,0,0,0,2,0,0
Defensive Training,1,0,0,0,0,0,0
Deft Maker,0,0,0,0,0,0,0
Design Flaw,0,0,0,0,0,0,0
Disarming Smile,0,0,0,0,0,0,0
Disciple Of Lore,0,0,0,0,0,0,0
Disorient,0,2,0,0,2,0,0
Distracting Behavior,0,0,0,0,0,0,0
Dockyard Expertise,0,0,0,0,0,0,0
Dodge,0,0,2,2,1,0,0
Durable,3,3,0,0,1,0,0
Embrace Your Hate,0,2,0,0,0,0,0
Enduring,1,1,1,0,0,0,0
Expert Handler,0,0,0,0,0,0,0
Expert Tracker,0,0,0,1,0,0,0
Eye For Detail,0,0,0,0,0,0,0
Fearsome Rep,0,0,0,0,0,0,0
Fearsome,0,0,0,0,0,0,0
Feint,0,0,0,0,0,0,0
Feral Strength,0,2,0,0,0,0,0
Fine Tuning,1,0,0,0,0,0,0
Fire Support,0,0,0,0,0,0,0
First Among Brothers,0,0,0,0,0,0,0
Force Protection,0,0,0,0,0,0,0
Force Rating,0,0,0,0,2,0,0
Fortified Vacuum Seal,0,0,0,0,0,0,0
Frenzied Attack,0,0,0,0,2,0,0
Galaxy Mapper,0,0,0,0,0,0,0
Gearhead,1,0,0,0,0,2,0
Good Cop,0,0,0,0,0,0,0
Greased Palms,0,0,0,0,0,0,0
Grit,5,6,7,7,10,0,0
Hard Headed,0,0,0,0,0,0,0
Hard-Boiled,0,0,0,0,0,0,0
Healing Trance,0,0,0,0,0,0,0
Heightened Awareness,0,0,0,0,1,0,0
Hidden Storage,0,0,0,0,0,0,0
High-G Training,0,0,0,0,0,0,0
Hunter,0,0,0,0,0,0,0
In The Know,0,0,0,0,0,0,0
Indistinguishable,0,0,0,1,0,0,0
Inner Peace,0,2,0,0,0,0,0
Intimidating,0,2,0,0,0,0,0
Intuitive Evasion,0,0,0,0,0,0,0
Inventor,1,0,0,0,0,0,0
Iron Body,0,0,0,0,0,0,0
Jury Rigged,0,0,0,0,0,0,0
Keen Eyed,0,0,0,0,0,0,0
Kill With Kindness,0,0,0,0,0,0,0
Know Somebody,0,0,0,0,0,0,0
Know Their Weakness,0,0,0,0,0,0,0
Knowledge Specialization,0,0,0,0,0,0,0
Larger Project,0,0,0,0,0,0,0
Lead From The Back,0,0,0,0,0,0,0
Lead From The Front,0,0,0,0,0,0,0
Lethal Blows,0,2,0,3,0,0,0
Leverage,0,0,0,0,0,0,0
Machine Mender,0,0,0,0,0,0,0
Momentum,0,0,0,0,0,0,0
More Machine Than Man,0,0,0,0,0,0,0
Moving Target,0,1,0,0,0,0,0
Nobody's Fool,0,0,0,0,0,0,0
Outdoorsman,1,1,1,3,0,0,0
Overstocked Ammo,0,0,0,0,0,0,0
Overwhelm Defenses,0,0,0,0,0,0,0
Overwhelming Aura,0,0,0,0,0,0,0
Parry,3,5,3,2,2,0,0
Physical Training,2,2,0,0,2,0,0
Physician,0,0,0,0,0,0,0
Planet Mapper,0,0,0,0,0,0,0
Plausible Deniability,0,0,0,0,0,0,0
Point Blank,1,0,0,0,1,0,0
Positive Spin,0,0,0,0,0,0,0
Powerful Blast,0,0,0,0,0,0,0
Precise Aim,0,0,0,2,0,0,0
Prey On The Weak,0,1,0,0,0,0,0
Prime Positions,0,0,0,0,0,0,0
Quick Strike,0,3,2,1,2,0,0
Rapid Reaction,0,1,0,0,0,0,0
Rapid Recovery,0,0,0,0,2,0,0
Ready For Anything,0,0,0,0,0,0,0
Reflect,0,1,2,1,2,0,0
Repair Patch Specialization,0,0,0,0,0,0,0
Researcher,0,0,0,0,0,0,0
Resolve,0,0,0,0,0,0,0
Respected Delegate,0,0,0,0,0,0,0
Respected Scholar,0,0,0,0,0,0,0
Savvy Negotiator,0,0,0,0,0,0,0
Savvy,0,0,0,0,0,0,0
Second Chances,0,0,0,0,0,0,0
Second Wind,3,1,3,1,2,0,0
Secret Lore,0,0,0,0,0,0,0
Selective Detonation,0,0,0,0,0,0,0
Shortcut,0,0,0,0,2,0,0
Side Step,1,1,0,0,0,0,0
Skilled Jockey,0,0,2,0,0,0,0
Skilled Teacher,0,0,0,0,0,0,0
Sleight Of Mind,0,0,0,2,0,0,0
Smooth Talker,0,0,0,0,0,0,0
Sniper Shot,0,0,0,2,0,0,0
Solid Repairs,5,0,0,0,0,0,0
Sound Investments,0,0,0,0,0,0,0
Speaks Binary,0,0,0,0,0,0,0
Stalker,0,0,0,2,3,0,0
Steady Nerves,0,0,0,0,0,0,0
Stimpack Specialization,0,0,2,0,0,0,0
Street Smarts,1,0,0,1,0,0,0
Supporting Evidence,0,0,0,0,0,0,0
Suppressing Fire,0,1,0,0,1,0,0
Surgeon,0,0,2,0,0,2,0
Technical Aptitude,2,0,0,0,0,0,0
That's How It's Done,0,0,0,0,0,0,0
Tinkerer,2,0,0,0,0,0,0
Toughened,10,11,7,11,8,0,0
True Aim,0,0,0,1,0,0,0
Trust The Captain,0,0,0,0,0,0,0
Tuned Maneuvering Thrusters,0,0,0,0,0,0,0
Uncanny Reactions,2,1,2,1,1,0,0
Uncanny Senses,1,1,2,0,1,0,0
Up The Ante,0,0,0,0,0,0,0
Utinni!,0,0,0,0,0,0,0
Well Read,0,0,0,0,0,0,0
Well Rounded,0,0,0,0,0,0,0
Wheel And Deal,0,0,0,0,0,0,0
