Talent,Kavin,Virai,Khaylia,Culkoo,Okchota,BD,Doc
A Step Ahead,False,False,False,False,False,False,False
Acklay's Scything Strike,False,False,False,False,False,False,False
Adaptable,False,False,False,False,False,False,False
Against All Odds,False,False,False,False,False,False,False
Aggressive Negotiations,False,False,False,False,False,False,False
All-Terrain Driver,False,False,False,False,False,False,False
Altered Deal,False,False,False,False,False,False,False
Ambush,False,False,False,False,False,False,False
Analyze Data,False,False,False,False,False,False,False
Anatomy Lessons,False,False,False,True,False,False,False
Animal Bond,False,False,False,False,False,False,False
Improved Animal Bond,False,False,False,False,False,False,False
Animal Empathy,False,False,False,False,False,False,False
Another's Treasure,False,False,False,False,False,False,False
Armor Master,False,True,False,False,True,False,False
Improved Armor Master,False,True,False,False,False,False,False
Supreme Armor Master,False,False,False,False,False,False,False
As The Force Wills It,False,False,False,False,False,False,False
Assault Drop,False,False,False,False,False,False,False
At Any Cost,False,False,False,False,False,False,False
Ataru Technique,False,False,False,False,False,False,False
Backroom Deal,False,False,False,False,False,False,False
Bad Motivator,True,False,False,False,False,False,False
Bad Press,False,False,False,False,False,False,False
Balance,False,False,True,False,False,False,False
Baleful Gaze,False,False,False,False,False,False,False
Barrel Roll,False,False,False,False,False,False,False
Improved Barrel Roll,False,False,False,False,False,False,False
Supreme Barrel Roll,False,False,False,False,False,False,False
Basic Combat Training,False,False,True,True,True,False,False
Beginner's Luck,False,False,False,False,False,False,False
Better Luck Next Time,False,False,False,False,False,False,False
Biggest Fan,False,False,False,False,False,False,False
Blackmail,False,False,False,False,False,False,False
Blather,False,False,False,False,False,False,False
Blind Spot,False,False,False,False,False,False,False
Improved Blooded,False,False,False,False,False,False,False
Improved Body Guard,False,False,False,False,False,False,False
Supreme Body Guard,False,False,False,False,False,False,False
Bought Info,False,False,False,False,False,False,False
Bound Together,False,False,False,False,False,False,False
Improved Brace,False,False,False,False,False,False,False
Supreme Brace,False,False,False,False,False,False,False
Brachiation,False,False,False,False,True,False,False
Brilliant Evasion,False,False,False,False,False,False,False
Bring It Down,False,False,False,False,False,False,False
Call 'Em,False,False,False,False,False,False,False
Calm Commander,False,False,False,False,False,False,False
Calming Aura,False,False,False,False,False,False,False
Improved Calming Aura,False,False,False,False,False,False,False
Careful Planning,False,False,False,False,False,False,False
Improved Center of Being,False,False,False,False,False,False,False
Supreme Center of Being,False,False,False,False,False,False,False
Circle Of Shelter,False,False,False,False,False,False,False
Improved Clanker Killer,False,False,False,False,False,False,False
Clever Commander,False,False,False,False,False,False,False
Clever Solution,False,False,False,False,True,False,False
Combat Programming,False,False,False,False,False,False,False
Improved Commanding Presence,False,False,False,False,False,False,False
Comprehend Technology,False,False,False,False,False,False,False
Comrades In Arms,False,False,False,False,False,False,False
Improved Comrades in Arms,False,False,False,False,False,False,False
Improved Confidence,False,False,False,False,False,False,False
Consider Our Options,False,False,False,False,False,False,False
Improved Consider Our Options,False,False,False,False,False,False,False
Constant Vigilance,False,False,False,False,False,False,False
Contingency Plan,False,False,False,False,False,False,False
Contraption,True,False,False,False,False,False,False
Coordination Dodge,False,False,False,False,False,False,False
Corellian Sendoff,False,False,False,False,False,False,False
Improved Corellian Sendoff,False,False,False,False,False,False,False
Counterstrike,False,False,False,False,False,False,False
Coven,False,False,False,False,False,False,False
Creative Killer,False,False,False,False,False,False,False
Crippling Blow,False,False,False,False,False,False,False
Cruel Commander,False,False,False,False,False,False,False
Cunning Persona,False,False,False,False,False,False,False
Cunning Snare,False,False,False,False,False,False,False
Custom Loadout,False,False,False,False,False,False,False
Cutting Question,False,False,False,False,False,False,False
Dead To Rights,False,False,False,False,False,False,False
Improved Dead to Rights,False,False,False,False,False,False,False
Deathblow,False,False,False,False,False,False,False
Debilitating Shot,False,False,False,False,False,False,False
Deceptive Taunt,False,False,False,False,False,False,False
Defensive Circle,False,False,False,False,False,False,False
Improved Defensive Slicing,False,False,False,False,False,False,False
Desperate Repairs,False,False,False,False,False,False,False
Diplomatic Immunity,False,False,False,False,False,False,False
Disciplined Soul,False,False,False,False,False,False,False
Discredit,False,False,False,False,False,False,False
Disorienting Strike,False,False,False,False,False,False,False
Disruptive Strike,False,False,False,False,False,False,False
Improved Distracting Behavior,False,False,False,False,False,False,False
Djem So Deflection,False,False,False,False,False,False,False
Improved Dodge,False,False,False,False,False,False,False
Don't Shoot!,False,False,False,False,False,False,False
Double Or Nothing,False,False,False,False,False,False,False
Improved Double or Nothing,False,False,False,False,False,False,False
Supreme Double or Nothing,False,False,False,False,False,False,False
Double-Talk,False,False,False,False,False,False,False
Draw Closer,False,False,False,False,False,False,False
Droid Commander,False,False,False,False,False,False,False
Duelist's Training,False,False,False,False,False,False,False
Dynamic Fire,False,False,True,False,False,False,False
Empty Soul,False,False,False,False,False,False,False
Encoded Communiqué,False,False,False,False,False,False,False
Encouraging Words,False,False,False,False,False,False,False
Enduring Presence,False,False,False,False,False,False,False
Energy Transfer,False,False,False,False,False,False,False
Engineered Redundancies,False,False,False,False,False,False,False
Enhanced Leader,False,False,False,False,False,False,False
Essential Kill,False,False,False,False,False,False,False
Exceed Specifications,False,False,False,False,False,False,False
Improved Exceed Specifications,False,False,False,False,False,False,False
Supreme Exceed Specifications,False,False,False,False,False,False,False
Exemplar Of The Republic,False,False,False,False,False,False,False
Exhaust Port,False,False,False,False,False,False,False
Exhaustive Questioning,False,False,False,False,False,False,False
Extended Reach,False,False,False,False,False,False,False
Fall Back!,False,False,False,False,False,False,False
Falling Avalanche,False,False,False,False,False,False,False
Familiar Suns,False,False,False,False,False,False,False
Fancy Paint Job,False,False,False,False,False,False,False
Far Strike,False,False,False,False,False,False,False
Fear The Shadows,False,False,False,False,False,False,False
Field Commander,False,False,False,False,False,False,False
Improved Field Commander,False,False,False,False,False,False,False
Fire Control,False,False,False,False,False,False,False
Fire When Ready,False,False,False,False,False,False,False
Flows Through All Things,False,False,False,False,False,False,False
Font Of Power,False,False,False,False,False,False,False
For The Republic!,False,False,False,False,False,False,False
Forager,False,False,True,True,False,False,False
Force Assault,False,False,False,False,False,False,False
Force Connection,False,False,False,False,False,False,False
Force Of Will,False,False,False,False,False,False,False
Forewarning,False,False,False,False,False,False,False
Form On Me,False,False,False,False,False,False,False
Formation Tactics,False,False,False,False,False,False,False
Improved Formation Tactics,False,False,False,False,False,False,False
Fortune Favors The Bold,False,False,False,False,False,False,False
Freerunning,False,False,False,False,False,False,False
Improved Freerunning,False,False,False,False,False,False,False
Full Stop,False,False,False,False,False,False,False
