Weapon,Skill,Damage,Crit,Range,Encumbrance,Hard Points,Price,Rarity,Restricted,Qualities,Description
SSB-1 Static Pistol,Ranged (Light),2,4,Short,2,1,850,7,No,"Disorient 1, Stun 8","Based of a millennia old design, this pistol fires a powerful bolt of electricity which is quite effective in close quarters - capable of bringing down a Wookiee in a couple shots."
Energy Slingshot,Ranged (Light),3,None,Short,1,0,40,4,No,"Disorient 2, Stun Damage","This wrist-mounted device is able to fire small bolts of stunning energy, mostly used by mischievous pranksters. Triggering disorient may be done with 1 advantage result rather than 2."
411 Holdout,Ranged (Light),4,4,Medium,1,1,350,5,Yes,Stun Setting,"These blasters were produced for Imperial agents, having an increased range over other holdouts although with reduced damage. The specifications were stolen and the black market was flooded with the weapon."
DH-17c Short Carbine,Ranged (Heavy),4,3,Medium,3,2,950,6,No,"Auto-fire, Stun Setting","Somewhere between a blaster pistol and carbine, this small blaster weapon allows an engineer to quickly switch between a weapon and building fortifications."
12 Defender,Ranged (Light),5,5,Short,1,0,25,4,No,"Inferior, Limited Ammo 2","This holdout blaster is described as a ""micro blaster"", one of the smallest blasters in the galaxy. It is designed for self-defense and concealment. They also typically lack distinguishing markings, making them hard to track. Add 2 setback dice to Computers and Perception checks to find the concealed weapon."
CDEF Pistol,Ranged (Light),5,4,Medium,1,1,150,4,No,"Inferior, Stun Setting",These pistols are a standard issue to CorSec officers by the CEC. They are relatively cheap and a basic design.
Holdout Blaster,Ranged (Light),5,4,Short,1,1,200,4,No,Stun Setting,"These blasters are exceptionally small pistols which are easily portable and hidden away. For this reason they have a decreased range. When an individual is attempting to find the concealed weapon, add one setback die to the roll."
SE-14C Pistol,Ranged (Light),5,4,Short,1,2,650,6,No,"Auto-fire, Stun Setting",This blaster pistol has the ability to unleash a torrent of bolts at the enemy similarly to repeater rifles - yet with a diminished power. It is typically used by the Empire as a side-arm.
Mon Calamari Battle Baton,Ranged (Light),5,4,Medium,1,1,250,6,No,Stun Setting,"This is a simple blaster, in the shape of a small scepter. It is distributed to Mon Cal officers, showing the wielder's rank."
Light Blaster Pistol,Ranged (Light),5,4,Medium,1,2,300,4,No,Stun Setting,"These are the lightest of blaster pistols, commonly found all over the galaxy as they are not highly regulated as larger and more powerful weapons."
Lucky Blaster,Ranged (Light),5,4,Medium,1,2,400,10,No,Stun Setting,"Lucky Blasters are not a weapon of a particular manufacturer, they are more an anomaly among blasters that one may become attuned to. Many gunslingers tend to believe in lucky blasters, but mystics are capable of sensing a blaster imbued with the anomalous force powers. When a character uses a single maneuver with a lucky blaster to aim, they gain 2 boost dice on their next combat check, they may not use their second maneuver to aim again."
DL-19C Pistol,Ranged (Light),5,4,Medium,1,4,450,4,No,Stun Setting,"Based partly on the common DL-18, this blaster pistol is marketed towards weapon hobbyists and enthusiasts, allowing a user greater adjustment of the weapon both in attachments and small changes. When Jury Rigged talent is used on this weapon, select an additional (different) option from that talent's list and apply it to the weapon."
X-30 Lancer Precision Pistol,Ranged (Light),5,4,Long,1,3,1000,5,No,"Accurate 1, Pierce 2","This is a light weight and popular sporting blaster, favoured by many beyond the hunting scene as a self-defense weapon. They are also found in a variety of escape pod and speeder bike emergency kits!"
A95 Stingbeam,Ranged (Light),5,3,Engaged,1,0,400,5,No,"Stun Setting, Vicious 1","This holdout pistol fits in the palm of one's hand, firing a beam of energized particles rather than a blaster bolt. However, the drawback to this small technology is the limited range. Add 2 setback dice to Perception checks to find the concealed weapon."
Spukami Pocket Pistol,Ranged (Light),5,3,Short,1,1,200,2,No,Stun Setting,"This pistol was designed for close quarters combat only, despite having a longer range. It hits hard for a holdout blaster, but becomes ineffective at range. At short range, gain the Inaccurate 1 quality. Add 1 setback dice to Perception checks to find the weapon when concealed."
Model Q4 Quickfire Holdout Pistol,Ranged (Light),5,3,Short,1,0,250,4,No,Stun Setting,"This unique holdout blaster uses a specialised power-pack that allows for a greater output than other houldouts. However, the pack cannot be replaced and must be recharged from a power-source."
"CS14 ""Ghost"" Light Pistol",Ranged (Light),5,3,Short,1,0,550,6,Yes,Stun Setting,This small and lightweight blaster is easily concealed and built from sensor-proof alloys. This makes the weapon virtually impossible to detect and a perfect choice for spies. Finding a CS14 on an individual requires a Daunting (4 Purple) Perception Check. A character must make a Daunting (4 Purple) Computers Check to find the CS14 with a weapon scanner.
ATA Pulse-Wave Pistol,Ranged (Light),5,3,Short,2,2,750,6,Yes,Vicious 3,"Once state-of-the-art, this pistol is now considered an archaic weapon, incapable of much range or damage. However, the effect of an impact from this weapon is similar to a disruptor weapon."
Defender Pistol,Ranged (Light),5,3,Medium,1,1,650,6,No,"Stun Setting, Accurate 1","This pistol is commonly used by the Corporate Sector Authority, but is popular enough that it is often seen among the nobility and aristocracy. "
HL-27 Light Pistol,Ranged (Light),5,3,Medium,1,2,450,4,No,"Accurate 1, Stun Setting","This is an example of the superior craftsmanship of Coronet Arms, balancing discretion and firepower in a tight package."
"IR-5 ""Intimidator"" Pistol",Ranged (Light),5,3,Medium,2,2,750,6,Yes,"Auto-fire, Inaccurate 1","This pistol provides plenty of firepower in a small package, illegal due to its fire rate comparable to a repeating blaster."
"XL-2 ""Flashfire"" Light Pistol",Ranged (Light),5,3,Medium,1,3,450,5,No,"Disorient 1, Stun Setting",This is a plasma-based blaster which is designed to disperse the bright beam slightly upon firing - capable of momentarily blinding an opponent being shot at.
Heartwood Blaster,Ranged (Heavy),6,5,Medium,3,1,1000,6,No,"Cumbersome 2, Stun 3","This blaster was developed by the Tholothian Defense Force, using wood from the native heartwood of their world Toloth. When using the heartwood blaster, a character may suffer strain up to their force rating to add an equal number of automatic advantages to the next combat check they make that turn."
ELG-3A Pistol,Ranged (Light),6,4,Short,1,0,400,5,No,Stun Setting,"The ""Diplomat's Blaster"" is elegantly designed, used by the iconic Naboo Royal Guard. It is easy to hide well. Add 2 setback dice to perception checks to find this weapon on a person's body."
Wrist Blaster,Ranged (Light),6,3,Engaged,1,0,1200,6,Yes,"Limited Ammo 1, Pierce 4","Typically built into a wrist accessory such as a bracelet or chrono, this small weapon is capable of producing a single powerful blast that may incapacitate an opponent. However, they are illegal on most worlds. Noticing the weapon requires a Daunting (4 difficulty) Perception check. Getting 3 disadvantages on a weapon check may cause it to burn the user for 3 wounds.
"
Military Holdout Blaster,Ranged (Light),6,3,Short,1,0,500,5,No,Stun Setting,"This small personal blaster is designed to be easily drawn, but also to blend in with one's clothing. Favoured among diplomats that may come across aggressive agents. Add 1 setback die to Perception checks to find the blaster. The weapon may run out of ammunition upon 3 Threat results."
Boonta Blaster,Ranged (Light),6,3,Short,1,1,1000,8,No,Stun Setting,"This weapon is named after Boonta the Hutt, a legend who carried as similar weapon. These blasters are typically ornate holdout blasters, with little more to them. Add 1 setback die to Perception checks to find the blaster. The weapon may run out of ammunition upon 3 Threat results."
Site-145 Replica Pistol,Ranged (Light),6,3,Medium,1,0,1750,8,Yes,Stun Setting,This is a replica of an ancient weapon used by force-sensitives before the use of lightsabers. Comes automatically with the 'Force-attuned resonator' attachment.
Liquidsilver L7 Light Pistol,Ranged (Light),6,3,Medium,1,1,425,4,No,Stun Setting,"This inexpensive blaster pistol has gained a good reputation among smugglers for having aboard starships, as its compact frame and metallic styling make it inconspicuous on a vessel. Add 2 setback dice to Perception checks to notice the pistol stashed aboard a starship."
Droid Disruptor,Ranged (Light),6,3,Short,2,1,800,7,No,Vicious 3 (droids only),"Produced by Verpine weaponsmiths, this specialised weapon fires a stream of ion energy to burn out droid circuitry. They are seen by droids as organics view disruptor weapons. Organics hit by the weapon suffer no damage from the weapon, but suffer 2 strain."
ST-M40 Heavy Repeating Pistol,Ranged (Light),6,3,Short,2,2,2100,5,No,"Auto-fire, Inaccurate 1","Loosely based on the DD6, this heavy blaster pistol was designed with an auto-fire setting - but due to the short barrel, it is relatively inaccurate. The weapon may run out of ammunition due to 2 disadvantage results."
PB08 Heavy Blaster Pistol,Ranged (Light),6,3,Medium,2,2,800,6,No,Stun Setting,This popular Merr-Sonn pistol is simple and reliable. It uses an exemplary heat managing and energy conservation system to keep it from running out of ammunition in the middle of combat - unlike other heavy blaster pistols. Weapon cannot run out of ammo due to a despair result.
ACP Array Gun,Ranged (Heavy),6,3,Short,3,3,890,6,No,"Blast 5, Stun Setting",This weapon is favoured among pirates due to its ability to clear hallways and corridors of spaceships with a blast that is unlikely to damage the starship structure.
Blaster Pistol,Ranged (Light),6,3,Medium,1,3,400,4,No,Stun Setting,"This is a common weapon found in the galaxy, light yet all that is necessary for self-defense in most cases."
"Model 53 ""Quicktrigger"" Pistol",Ranged (Light),6,3,Medium,1,4,450,4,No,Stun Setting,This is a reliable and easy to maintain pistol which is popular on the fringe as repair materials are hard to come by. It is also easily modified to specifications of the user. Reduce the difficulty of Mechanics checks to repair or modify attachments on it by 1.
Model 44 Pistol,Ranged (Light),6,3,Medium,1,4,500,4,No,Stun Setting,"This is an iconic blaster pistol, considered reliable and more than adequate for most situations. It is often used by those on starship due to its low power."
SE-14r Light Repeater,Ranged (Light),6,3,Medium,2,3,1000,6,Yes,"Auto-fire, Stun Setting","Known as the Imperial Repeating Pistol, this weapon is often carried by some imperial officers and pilots. It has a high fire rate and is military weaponry, meaning it will fetch a high price on the black market. May run out of ammo due to 3 disadvantage results."
Model 80 Pistol,Ranged (Light),6,2,Medium,2,3,550,5,No,Stun Setting,"The Model 80 is a pistol with decently powerful energy bolts that can hurt their opponents. It's a little bulky however, and not apt as a secondary weapon. Time taken to draw, holster, stow or otherwise access this weapon cannot be reduced."
WESTAR-35 Blaster Pistol,Ranged (Light),6,2,Medium,1,3,1200,8,No,"Accurate 1, Stun Setting","This high-quality and sleek blaster is the standard-issue side-arm of the Mandalorian law enforcement and military officers. The weapon, just like the GALAAR was never produced for export but manages to find its way onto the black market due to its desirability. "
DE-10 Blaster Pistol,Ranged (Light),6,2,Long,1,2,1400,6,No,"Accurate 1, Stun Setting","Produced by Antrech Arms, a BlasTech subsidiary which produced niche blasters, the DE-10 was easy to maintain, classy, and made of the best materials for endurance. It came standard with a telescopic optical sight. Reduce difficulty of combat checks at long and extreme range by 1.

Do not add 1 setback dice due to minor repairs needed.

Add 1 boost dice to checks for repairing the blaster."
IDX-9 Ion Stunner,Ranged (Light),7,-,Medium,1,2,300,4,No,"Ion, Stun Damage",The Tenloss IDX-9 can be used to disrupt non-droid's neural pathways just as well as it can disable the electronic components of droids. This weapon can also be used to accurately target technological security measures. This rifle may be holstered as if it were a side-arm due to its collapsible nature.
"Mk. V ""Sand Panther"" Rifle",Ranged (Heavy),7,5,Long,5,2,1750,7,No,"Accurate 1, Cumbersome 2",This cumbersome weapon is actually coveted by big game hunters wealthy enough to justify the expense for such a rifle. It is crafted with great precision by Coronet Arms.
